_id,id,link,title,Category ID,Category Title,Magnitude Value,Magnitude Unit,Geometry Type,Source ID,Source URL,Date,Time,Longitude,Latitude
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-09,03:00:00Z,-35.8,19.5
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,40.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-09,09:00:00Z,-36.9,19.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,40.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-09,09:00:00Z,-36.9,19.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,40.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-09,15:00:00Z,-38.0,20.5
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,40.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-09,15:00:00Z,-38.0,20.5
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,40.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-09,21:00:00Z,-38.7,21.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,40.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-09,21:00:00Z,-38.7,21.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,45.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-10,03:00:00Z,-39.1,21.6
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,45.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-10,03:00:00Z,-39.1,21.6
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,45.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-10,09:00:00Z,-39.6,22.1
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,45.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-10,09:00:00Z,-39.6,22.1
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,45.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-10,15:00:00Z,-40.0,23.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,45.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-10,15:00:00Z,-40.0,23.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,55.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-10,21:00:00Z,-40.1,23.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,55.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-10,21:00:00Z,-40.1,23.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,55.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-11,03:00:00Z,-39.9,24.6
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,55.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-11,03:00:00Z,-39.9,24.6
